Statistical Consulting Group,,Department of Statistics,Yes,"(In Animal Sciences building, but not sure they want address to be listed, I'm following up",
University of Wisconsin Medical Radiation Research Center (UWMRRC),"ADCL, UWMRRC",Department of Medical Physics,Yes,"1111 Highland Ave, B1002 WIMR, Madison, WI 53705",
Biological Systems Engineering Shop,BSE Fabrication Shop,,Yes,"Agricultural Engineering Laboratory 540 Elm Dr Madison, WI 53706, Room: 150B",
Applied Population Lab,APL,Department of Community and Environmental Sociology,Yes,"Agricultural Hall 1450 Linden Dr Madison, WI 53706-1522",
Arboretum,,OVCR,Yes,"Arboretum-McKay Center 1207 Seminole Hwy Madison, WI 53711-3726",
Arlington Agricultural Research Station,,Agricultural Research Stations,Yes,"ARS Arling Farm Headquarters N695 Hopkins Rd Arlington, WI 53911-9719",
Hancock Agricultural Research Station,,Agricultural Research Stations,Yes,"ARS Hancock-Ofc & Laboratory N3909 Cty Hwy V Hancock, WI 54943-0000",
Wisconsin Potato & Vegetable Storage Research Facility,Potato Storage,Hancock Research Station,Yes,"ARS Hancock-Ofc & Laboratory N3909 Cty Hwy V Hancock, WI 54943-0000",
Kemp Natural Resources Station,Kemp Station,Agricultural Research Stations,Yes,"ARS Kemp-Nat Res St- Bldg 9161 Kemp Rd Woodruff, WI 54568-9689",
Lancaster Agricultural Research Station,,Agricultural Research Stations,Yes,"ARS Lancaster-Farm Center 7396 State Hwy 35 & 81 Lancaster, WI 53813-0000",
West Madison Agricultural Research Station,,Agricultural Research Stations,Yes,"ARS Madison-W Hqts Building 8502 Mineral Point Rd Verona, WI 53593-9689",
Marshfield Agricultural Research Station,,Agricultural Research Stations,Yes,"ARS Marshfield-Nfed-Admin Bldg M605 Drake Ave Stratford, WI 54484-9506",
Peninsular Agricultural Research Station,,Agricultural Research Stations,Yes,"ARS Peninsular-Ofc & Lab 4312 State Highway 42 Sturgeon Bay, WI 54235-9620",
Rhinelander Agricultural Research Station,,Agricultural Research Stations,Yes,"ARS Rhine-Stella-Dorm & Office 4181 Camp Bryn Afon Rd Rhinelander, WI 54501-9562",
Spooner Agricultural Research Station,Spooner ARS,Agricultural Research Stations,Yes,"ARS Spooner-Auditorium W6646 Hwy 70 Spooner, WI 54801-9468",
UW–Madison Glass Lab,UW Glass Lab,UW-Madison Art Department,No?- concerned about public requests but wants to be on campus map,"Art Lofts 111 N Frances St Madison, WI 53703-2636",
Space Science and Engineering Center,SSEC,OVCRGE,Yes,"Atmospheric Oceanic & Space Sci 1225 W Dayton St Madison, WI 53706-1612",
Electron Microscope Core (SMPH),UW SMPH EM Facility,School of Medicine and Public Health,Yes,"Bardeen Medical Laboratory 470 N Charter St Madison, WI 53706-1509, Room: 142",
Vision Research Core,Vision Core,Department of Ophthalmology & Visual Sciences,Yes,"Bardeen Medical Laboratory 470 N Charter St Madison, WI 53706-1509, Room: 550",
Botany Garden,Botanical Garden,Department of Botany,Yes,"Birge Hall 430 Lincoln Dr Madison, WI 53706-1313",
Newcomb Imaging Center,NIC,Department of Botany,Yes,"Birge Hall 430 Lincoln Dr Madison, WI 53706-1313, Room: B150",
