ID,Name,Alternative Name,Parent Organization,Should this core be visible to the public?,Building,Location,
1,Statistical Consulting Group,,Department of Statistics,Yes,,"(In Animal Sciences building, but not sure they want address to be listed, I'm following up",
2,University of Wisconsin Medical Radiation Research Center (UWMRRC),"ADCL, UWMRRC",Department of Medical Physics,Yes,1485,"1111 Highland Ave, B1002 WIMR, Madison, WI 53705",
3,Biological Systems Engineering Shop,BSE Fabrication Shop,,Yes,99,"Agricultural Engineering Laboratory 540 Elm Dr Madison, WI 53706, Room: 150B",
4,Applied Population Lab,APL,Department of Community and Environmental Sociology,Yes,70,"Agricultural Hall 1450 Linden Dr Madison, WI 53706-1522",
5,Arboretum,,OVCR,Yes,604,"Arboretum-McKay Center 1207 Seminole Hwy Madison, WI 53711-3726",
6,Arlington Agricultural Research Station,,Agricultural Research Stations,Yes,,"ARS Arling Farm Headquarters N695 Hopkins Rd Arlington, WI 53911-9719",
7,Hancock Agricultural Research Station,,Agricultural Research Stations,Yes,,"ARS Hancock-Ofc & Laboratory N3909 Cty Hwy V Hancock, WI 54943-0000",
8,Wisconsin Potato and Vegetable Storage Research Facility,Potato Storage,Hancock Research Station,Yes,,"ARS Hancock-Ofc & Laboratory N3909 Cty Hwy V Hancock, WI 54943-0000",
9,Kemp Natural Resources Station,Kemp Station,Agricultural Research Stations,Yes,,"ARS Kemp-Nat Res St- Bldg 9161 Kemp Rd Woodruff, WI 54568-9689",
10,Lancaster Agricultural Research Station,,Agricultural Research Stations,Yes,,"ARS Lancaster-Farm Center 7396 State Hwy 35 & 81 Lancaster, WI 53813-0000",
11,West Madison Agricultural Research Station,,Agricultural Research Stations,Yes,,"ARS Madison-W Hqts Building 8502 Mineral Point Rd Verona, WI 53593-9689",
12,Marshfield Agricultural Research Station,,Agricultural Research Stations,Yes,,"ARS Marshfield-Nfed-Admin Bldg M605 Drake Ave Stratford, WI 54484-9506",
13,Peninsular Agricultural Research Station,,Agricultural Research Stations,Yes,,"ARS Peninsular-Ofc & Lab 4312 State Highway 42 Sturgeon Bay, WI 54235-9620",
14,Rhinelander Agricultural Research Station,,Agricultural Research Stations,Yes,,"ARS Rhine-Stella-Dorm & Office 4181 Camp Bryn Afon Rd Rhinelander, WI 54501-9562",
15,Spooner Agricultural Research Station,Spooner ARS,Agricultural Research Stations,Yes,,"ARS Spooner-Auditorium W6646 Hwy 70 Spooner, WI 54801-9468",
16,UW–Madison Glass Lab,UW Glass Lab,UW-Madison Art Department,No?- concerned about public requests but wants to be on campus map,220,"Art Lofts 111 N Frances St Madison, WI 53703-2636",
17,Space Science and Engineering Center,SSEC,OVCRGE,Yes,156,"Atmospheric Oceanic & Space Sci 1225 W Dayton St Madison, WI 53706-1612",
18,Electron Microscope Core (SMPH),UW SMPH EM Facility,School of Medicine and Public Health,Yes,0451A,"Bardeen Medical Laboratory 470 N Charter St Madison, WI 53706-1509, Room: 142",
19,Vision Research Core,Vision Core,Department of Ophthalmology & Visual Sciences,Yes,0451A,"Bardeen Medical Laboratory 470 N Charter St Madison, WI 53706-1509, Room: 550",
20,Botany Garden,Botanical Garden,Department of Botany,Yes,54,"Birge Hall 430 Lincoln Dr Madison, WI 53706-1313",
21,Newcomb Imaging Center,NIC,Department of Botany,Yes,54,"Birge Hall 430 Lincoln Dr Madison, WI 53706-1313, Room: B150",
22,Botany Greenhouses ,,Department of Botany,Yes,54,"Birge Hall 430 Lincoln Dr Madison, WI 53706-1313, Room: B278",
23,Center for Biomedical Swine Research and Innovation,CBSRI,School of Medicine and Public Health (SMPH),Yes,1400,"Clinical Science Center 600 Highland Ave Madison, WI 53792-0001",
24,Histology Resource Core (HRC),DOS Histology Core,Department of Surgery,Yes,1400,"Clinical Science Center 600 Highland Ave Madison, WI 53792-0001, Room: H4/337",
25,UW Humanized Mouse Core,,Department of Surgery,Yes,1400,"Clinical Science Center 600 Highland Ave Madison, WI 53792-0001, Room: H4/733",
26,Lincoln F. Ramirez Neurosurgery Operative Skills Laboratory,Mustafa K Baskaya Laboratory,Department of Neurological Surgery,Yes,1400,"Clinical Science Center 600 Highland Ave Madison, WI 53792-0001, Room: k4/417",
27,Surgery Office of Clinical Research ,,Department of Surgery,Yes,1400,"Clinical Science Center 600 Highland Ave Madison, WI 53792-0001, Room: K6/131 and F8/138",
28,WiSOR Qualitative Core,Qualitative Core,Department of Surgery,Yes,1400,"Clinical Science Center 600 Highland Ave Madison, WI 53792-0001, Room: K6/143",
29,Atherosclerosis Imaging Research Program,AIRP,Department of Medicine / ICTR,Yes,1400,"Clinical Science Center 600 Highland Ave Madison, WI 53792-0001, Room: K6/319",
30,Cancer Pharmacology Laboratory,DDC Cancer Pharmacology,UWCCC Drug Development Core,Yes,1400,"Clinical Science Center 600 Highland Ave Madison, WI 53792-0001, Room: K6/570",
31,Data Center Services,CCI Data Centers,DIvision of Information Technology (DoIT),Yes,155,"Computer Sciences 1210 W Dayton St Madison, WI 53706-1613",
32,Electronic Lab Notebooks,ELN,DoIT Academic Technology,Yes,155,"Computer Sciences 1210 W Dayton St Madison, WI 53706-1613, Room: 2nd floor",
33,Human Exercise Research Core Facility,,Department of Kinesiology,Yes,44,"Cooper Hall, Signe Skott 701 Highland Ave Madison, WI 53705-2202",
34,Wisconsin Network for Research Support,WINRS,School of Nursing,Yes,44,"Cooper Hall, Signe Skott 701 Highland Ave Madison, WI 53705-2202",
35,Collaborative Crystallography Core,CCC,Department of Biochemistry,Yes,204,"DeLuca Biochemical Sciences Building 440 Henry Mall Madison, WI 53706-1535, Room: 2222, 2268",
36,Biochemistry Optical Core,BOC,Department of Biochemistry ,Yes,204,"DeLuca Biochemical Sciences Building 440 Henry Mall Madison, WI 53706-1535, Room: 5404a",
37,Biophysics Instrumentation Facility,BIF,Department of Biochemistry,Yes,204,"DeLuca Biochemical Sciences Building 440 Henry Mall Madison, WI 53706-1535, Room: B1406",
38,Cryo-Electron Microscopy Research Center,CEMRC,"Department of Biochemistry, CALS",No,84,"DeLuca Biochemistry Building 420 Henry Mall Madison, WI 53706-1502, Room: B1131",
39,Midwest Center for Cryo-Electron Tomography,MCCET,"CEMRC, Department of Biochemistry, CALS, NIH",Yes,84,"DeLuca Biochemistry Building 420 Henry Mall Madison, WI 53706-1502, Room: B1131",
40,National Magnetic Resonance Facility at Madison,NMRFAM,Department of Biochemistry,Yes,84,"DeLuca Biochemistry Laboratories 433 Babcock Dr Madison, WI 53706-1544",
41,Nanoscale Fabrication Center,NFC,WIsconsin Centers for Nanoscale Technology,Yes,481,"Engineering Centers Building 1550 Engineering Dr Madison, WI 53706-1609, Room: 3rd floor",
42,TEAM Lab,,College of Engineering,Yes,481,"Engineering Centers Building 1550 Engineering Dr Madison, WI 53706-1609, Room: B1086",
43,Alloy Design and Development Laboratories,,College of Engineering,Yes,481,"Engineering Centers Building 1550 Engineering Drive Madison, WI 53706",
44,Environmental Engineering Core Facility,Environmental Engineering Shared Laboratory,College of Engineering,Yes,408,"Engineering Hall 1415 Engineering Dr Madison, WI 53706-1607",
45,Wisconsin Structures and Materials Testing Laboratory,WSMTL,College of Engineering,Yes,408,"Engineering Hall 1415 Engineering Dr Madison, WI 53706-1607, Room: 1313",
46,Soft Materials Characterization Laboratory,SMCL,Wisconsin Centers for Nanoscale Technology,Yes,408,"Engineering Hall 1415 Engineering Dr Madison, WI 53706-1607, Room: B42",
47,RARC Comparative Pathology Laboratory,CPL,Research Animal Resources Center,Yes,479,"Enzyme Institute 1710 University Ave Madison, WI 53726-4087",
48,RARC Trainers,RARC Training Program,Research Animal Resources and Compliance,Yes,479,"Enzyme Institute 1710 University Ave Madison, WI 53726-4087",
49,Chemistry Molecular Structure Laboratory,CIC X-Ray Crystallography,Paul Bender Chemical Instrumentation Facility,Yes,47,"F Daniels & JH Mathews Chem Bl 1101 University Ave Madison, WI 53706-1322, Room: 2121, 2143",
50,Chemistry Mass Spectrometry Facility,CIC Mass Spec,Paul Bender Chemical Instrumentation Facility,Yes,47,"F Daniels & JH Mathews Chem Bl 1101 University Ave Madison, WI 53706-1322, Room: 2142",
51,Chemistry Magnetic Resonance Facility,UWChemNMR,Chemistry Department,Yes,47,"F Daniels & JH Mathews Chem Bl 1101 University Ave Madison, WI 53706-1322, Room: 2201A",
52,Synthesis and Catalysis Center,SynCat,Department of Chemistry,No,47,"F Daniels & JH Mathews Chem Bl 1101 University Ave Madison, WI 53706-1322, Room: 5201",
53,Advanced Genome Editing Laboratory,GEAM-Genome Editing,Biotechnology Center,Yes,82,"Genetics-Biotech Center Bldg 425 Henry Mall Madison, WI 53706-1580",
54,DNA Sequencing Facility,DNA,Biotechnology Center,Yes,82,"Genetics-Biotech Center Bldg 425 Henry Mall Madison, WI 53706-1580, Room: 1250",
55,Bioinformatics Resource Center,BRC,Biotechnology Center,Yes,82,"Genetics-Biotech Center Bldg 425 Henry Mall Madison, WI 53706-1580, Room: 1260",
56,Mass Spectrometry/Proteomics Facility,UWBC Mass Spec,Biotechnology Center,Yes,82,"Genetics-Biotech Center Bldg 425 Henry Mall Madison, WI 53706-1580, Room: 2250",
57,Gene Expression Center - RNA,GEC,Biotechnology Center,Yes,82,"Genetics-Biotech Center Bldg 425 Henry Mall Madison, WI 53706-1580, Room: 2330–2340",
58,Isotope Ratio Mass Spectrometry Laboratory,IRMS,Biotechnology Center,Yes,82,"Genetics-Biotech Center Bldg 425 Henry Mall Madison, WI 53706-1580, Room: Lab 2210",
59,Animal Models Core,GEAM-Animal Models,Biotechnology Center,Yes,82,"Genetics-Biotech Center Bldg 425 Henry Mall Madison, WI 53706-1580, Room: Room 3210",
60,Keyboard Arts Research Core,,Mead Witter School of Music,Yes,469,"George L Mosse Humanities Bld 455 N Park St Madison, WI 53706-1405",
61,Electro-Acoustic Research Space,EARS,Mead Witter School of Music,Yes,469,"George L Mosse Humanities Bld 455 N Park St Madison, WI 53706-1405, Room: 2401",
62,Walnut Street Greenhouses,CALS Centralized Greenhouse Management System,Agricultural Research Stations,Yes,122,"Greenhouse-Walnut Street 525 Walnut St Madison, WI 53726-2334",
63,Arthur D. Hasler Laboratory of Limnology,Hasler Lim Lab / CFL,Center for Limnology,Yes,483,"Hasler Limnology Bldg 680 N Park St Madison, WI 53706-1413",
64,Institute for Clinical and Translational Research,ICTR,ICTR,Yes,1480,"Health Sciences Learning Cnt 750 Highland Ave Madison, WI 53705-2221",
65,ICTR Community-Academic Partnerships Program,ICTR CAP,Institute for Clinical and Translational Research,Yes,1480,"Health Sciences Learning Cnt 750 Highland Ave Madison, WI 53705-2221, Room: 2112",
66,Recovering Analog and Digital Data,RADD,Wisconsin Information School,Yes,18,"Helen C White Hall 600 N Park St Madison, WI 53706-1403, Room: 4191",
67,Co-Create,,"Center for Community and Nonprofit Studies, School of Human Ecology",No,85,"Human Ecology Building 1300 Linden Dr Madison, WI 53706-1524, Room: 4th Floor",
68,Physical Sciences Laboratory,PSL,OVCRGE,Yes,,"KRC-PSL-Shop And Office 3725 Schneider Dr Stoughton, WI 53589-3034",
69,Lakeshore Nature Preserve,Preserve,Facilities Planning & Management,Yes,,"Lakeshore Nature Preserve 2000 University Bay Drive Madison, WI 53705",
70,Inductively Coupled Plasma and Thermal Ionization Mass Spectrometry Isotope Lab,ICP-TIMS Lab,Department of Geoscience,Yes,521,"Lewis G Weeks Hall - Geo Sci 1215 W Dayton St Madison, WI 53706-1600",
71,Stable Isotope Lab,,Department of Geoscience,Yes,521,"Lewis G Weeks Hall - Geo Sci 1215 W Dayton St Madison, WI 53706-1600",
72,Wisconsin Secondary Ion Mass Spectrometer Lab,WiscSIMS,Department of Geoscience,Yes,521,"Lewis G Weeks Hall - Geo Sci 1215 W Dayton St Madison, WI 53706-1600",
73,S. W. Bailey X-ray Diffraction Laboratory ,Powder XRD Lab,Department of Geoscience,Yes,521,"Lewis G Weeks Hall - Geo Sci 1215 W Dayton St Madison, WI 53706-1600, Room: A353",
74,Eugene Cameron Electron Microprobe Lab,Microprobe Lab,Department of Geoscience,Yes,521,"Lewis G Weeks Hall - Geo Sci 1215 W Dayton St Madison, WI 53706-1600, Room: Rm 306,312",
